Reg Address	|	Name			|	Usage
0			|	zero			|	always zero
1			|	R1				|	Temporary Data Register
2			|	R2				|	Temporary Data Register
3			|	R3				|	Temporary Data Register
4			|	R4				|	Temporary Data Register
5			|	R5				|	Temporary Data Register
6			|	R6				|	Temporary Data Register
7			|	R7				|	Temporary Data Register
8			|	R8				|	Temporary Data Register
9			|	R9				|	Temporary Data Register
10			|	R10				|	Temporary Data Register
11			|	R11				|	Temporary Data Register
12			|	R12				|	Temporary Data Register
13			|	R13				|	Temporary Data Register
14			|	R14				|	Temporary Data Register
15			|	R15				|	Temporary Data Register
16			|	R16				|	Temporary Data Register
17			|	R17				|	Temporary Data Register
18			|	R18				|	Temporary Data Register
19			|	R19				|	Temporary Data Register
20			|	R20				|	Temporary Data Register
21			|	R21				|	Temporary Data Register
22			|	R22				|	Temporary Data Register
23			|	R23				|	Temporary Data Register
24			|	R24				|	Temporary Data Register
25			|	R25				|	Temporary Data Register
26			|	R26				|	Temporary Data Register
27			|	R27				|	Temporary Data Register
28			|	R28				|	Temporary Data Register
29			|	R29				|	Temporary Data Register
30			|	ra				|	Return Address Register
31			|	sp				|	Stack Pointer Register



Every register has 5[Bits] Address (number of registers = 2^5 = 32)
